Sample_ID	Percent_cover	Leaf_dry_weight_g
zos_01	0.02	0
zos_02	0	0
zos_03	0	0
zos_04	0	0
zos_05	0.29	0
zos_06	0	0
zos_07	18.11	0.4248
zos_08	11.63	0.3278
zos_09	20.47	0.5039
zos_10	13.22	0.2509
zos_11	13.04	0.3314
zos_12	14.57	0.2635
zos_13	32.57	0.6792
zos_14	21.86	0.46
zos_15	36.21	0.8603
zos_16	29.87	0.8591
zos_17	17.48	0.5299
zos_18	21.29	0.5036
zos_19	62.74	1.1689
zos_20	46.91	0.8685
zos_21	57.95	1.5525
zos_22	50.4	1.1418
zos_23	57.81	1.5151
zos_24	62.53	1.1239
zos_25	73.85	NA
zos_26	88.43	4.3694
zos_27	79.44	NA
zos_28	90.75	5.0043
zos_29	90.63	2.9966
zos_30	94.85	2.2513
zos_a_61	100	5.23168
zos_b_61	100	5.09404
zos_c_61	100	3.78621
zos_d_61	100	3.7165
zos_e_61	100	4.10251
