Wavelength	A00217.asd
325	 1.92316608532118E-02 
326	 2.84102282712507E-02 
327	 3.67540164258259E-02 
328	 0.031390377877463 
329	 3.05270280912477E-02 
330	 3.79006877719402E-02 
331	 3.50664784667561E-02 
332	 3.22421548792829E-02 
333	 3.97451257032856E-02 
334	 4.19455565784172E-02 
335	 3.91872449884596E-02 
336	 3.79976315651695E-02 
337	 3.83306382600845E-02 
338	 3.98021536682403E-02 
339	 0.04027882606436 
340	 3.86806401708583E-02 
341	 3.49801041796879E-02 
342	 3.78780736170384E-02 
343	 4.37485743757478E-02 
344	 4.40944411390005E-02 
345	 4.11760622634143E-02 
346	 0.037422889463412 
347	 3.98532387407209E-02 
348	 4.16565318107679E-02 
349	 3.87807810883154E-02 
350	 3.79517646378277E-02 
351	 3.84286450030254E-02 
352	 3.76962461958293E-02 
353	 3.66897860862246E-02 
354	 3.63109584554532E-02 
355	 0.039212626686014 
356	 4.06815391205152E-02 
357	 0.038476306787897 
358	 0.038756975928908 
359	 4.04683642711985E-02 
360	 4.09603539157906E-02 
361	 3.98838752696004E-02 
362	 3.83201857046136E-02 
363	 4.03601158717792E-02 
364	 4.12107285371687E-02 
365	 3.89404301161971E-02 
366	 3.87430338994493E-02 
367	 3.94210635291392E-02 
368	 3.86741959506882E-02 
369	 3.83430960649373E-02 
370	 3.86008489342794E-02 
371	 3.85636760858995E-02 
372	 3.88170609018349E-02 
373	 0.039553908134666 
374	 3.98786035858041E-02 
375	 4.00002038245861E-02 
376	 4.03414876978024E-02 
377	 3.94244985158974E-02 
378	 3.75699064352957E-02 
379	 3.66676831787552E-02 
380	 3.70331422251812E-02 
381	 3.85688560759514E-02 
382	 3.95364300946655E-02 
383	 3.97437252573681E-02 
384	 0.039226736042079 
385	 3.98366012700035E-02 
386	 4.07988878760511E-02 
387	 3.80505131778312E-02 
388	 0.037405892055307 
389	 4.04563985599962E-02 
390	 0.040063383096572 
391	 3.87815999940611E-02 
392	 4.02217594153829E-02 
393	 4.06992407325757E-02 
394	 3.98171292588557E-02 
395	 3.85326180663318E-02 
396	 3.82802400526598E-02 
397	 3.92970197513105E-02 
398	 3.94942334752231E-02 
399	 3.87805829363854E-02 
400	 3.73345656818516E-02 
401	 3.75820647376438E-02 
402	 3.91316235656295E-02 
403	 4.01216451615096E-02 
404	 4.03298824646875E-02 
405	 3.98301188930768E-02 
406	 3.99823534823679E-02 
407	 0.0402701480524 
408	 3.99108017722127E-02 
409	 3.97426490652534E-02 
410	 3.97260335497101E-02 
411	 3.90910695582578E-02 
412	 3.89956063551222E-02 
413	 3.97529597106175E-02 
414	 3.96725857805418E-02 
415	 3.92081988891241E-02 
416	 3.91512068625182E-02 
417	 3.92398187101914E-02 
418	 3.94594107318229E-02 
419	 3.99584486886564E-02 
420	 4.02528843769234E-02 
421	 4.01501903714888E-02 
422	 4.02922358539972E-02 
423	 4.06878874297035E-02 
424	 4.12545484310826E-02 
425	 4.13258470078086E-02 
426	 4.09096703605873E-02 
427	 4.06769896813553E-02 
428	 4.07407941080014E-02 
429	 4.10912276426803E-02 
430	 4.09494382278428E-02 
431	 4.07100061336965E-02 
432	 4.12287376991369E-02 
433	 4.11317104893209E-02 
434	 4.04743989764615E-02 
435	 4.07995669314131E-02 
436	 0.041139600247645 
437	 4.09349940618621E-02 
438	 4.14126620781229E-02 
439	 4.21035404555765E-02 
440	 4.18599629361051E-02 
441	 4.14545709176885E-02 
442	 4.12524409029547E-02 
443	 4.17026475511857E-02 
444	 4.22005621216489E-02 
445	 4.22587397925617E-02 
446	 4.22787930670604E-02 
447	 4.22910073058149E-02 
448	 4.21728733859488E-02 
449	 4.23227175349396E-02 
450	 0.042753639182034 
451	 4.27996781469448E-02 
452	 0.042767817598161 
453	 4.29874646962502E-02 
454	 4.31482210325098E-02 
455	 4.32279257946204E-02 
456	 4.33397434814273E-02 
457	 4.34047579716871E-02 
458	 4.34042246552252E-02 
459	 4.34080326102908E-02 
460	 4.34363191339225E-02 
461	 4.35044228208874E-02 
462	 4.36556532172599E-02 
463	 4.37797917563402E-02 
464	 4.34904776727638E-02 
465	 4.33467898558477E-02 
466	 0.043589957521503 
467	 0.043675583326881 
468	 4.35898949653804E-02 
469	 4.33987762039173E-02 
470	 0.043746098511667 
471	 4.45116886085023E-02 
472	 4.47073115362517E-02 
473	 4.45888266369472E-02 
474	 4.43408340228798E-02 
475	 4.40028009516729E-02 
476	 4.38399022870609E-02 
477	 4.42986236261658E-02 
478	 4.43454800664928E-02 
479	 4.39648292831885E-02 
480	 0.044488354439243 
481	 4.50461819794639E-02 
482	 4.49365661716064E-02 
483	 4.47959986713112E-02 
484	 4.47603721695917E-02 
485	 4.49143845380921E-02 
486	 4.48891155899896E-02 
487	 4.46564372921694E-02 
488	 4.48862590756081E-02 
489	 4.50832411636016E-02 
490	 4.47323253142306E-02 
491	 0.044232368135941 
492	 4.40284694773252E-02 
493	 4.51451521957557E-02 
494	 4.59368570479148E-02 
495	 4.57591356855878E-02 
496	 4.56267460857575E-02 
497	 4.56729801245437E-02 
498	 4.59373534575798E-02 
499	 4.61282882440915E-02 
500	 4.62054324159321E-02 
501	 4.62978312697393E-02 
502	 4.65287356886579E-02 
503	 4.69192979655679E-02 
504	 4.70222582081074E-02 
505	 4.69925139058679E-02 
506	 4.71677554840065E-02 
507	 4.75476780117286E-02 
508	 4.80421383310076E-02 
509	 4.82776406159712E-02 
510	 4.84527474099892E-02 
511	 4.87291158590236E-02 
512	 4.89503732589534E-02 
513	 4.91823837060899E-02 
514	 4.96123205243767E-02 
515	 5.01709581536632E-02 
516	 5.07922493572154E-02 
517	 5.13088253586592E-02 
518	 5.16859661380213E-02 
519	 5.19125686095741E-02 
520	 5.21084622650742E-02 
521	 5.24328046249535E-02 
522	 5.32547463218966E-02 
523	 5.39232287013858E-02 
524	 5.41795333806011E-02 
525	 5.45127240525235E-02 
526	 5.48946210640595E-02 
527	 0.055202904953188 
528	 5.56276389408563E-02 
529	 5.61748571946255E-02 
530	 5.67365437533058E-02 
531	 5.71916451065687E-02 
532	 5.74788472305702E-02 
533	 5.78400634634276E-02 
534	 0.058196680747498 
535	 5.83115985533714E-02 
536	 5.84673986482113E-02 
537	 5.87770276120837E-02 
538	 5.92712478472019E-02 
539	 5.98161923675283E-02 
540	 6.02586787625444E-02 
541	 6.03283318213021E-02 
542	 6.01793217617669E-02 
543	 6.03250443363084E-02 
544	 6.06236127388357E-02 
545	 6.10036529424437E-02 
546	 0.06135421115293 
