Wavelength	SHSI00070.asd
325	 9.52885587346465E-02 
326	 0.095897472898359 
327	 9.08872445128899E-02 
328	 8.71091688303449E-02 
329	 8.86924796413566E-02 
330	 9.40063264022461E-02 
331	 8.56424488134359E-02 
332	 7.96652249988371E-02 
333	 9.10958280461462E-02 
334	 9.34611200352703E-02 
335	 8.81530651224333E-02 
336	 8.89170153945257E-02 
337	 9.20396033021524E-02 
338	 0.094151057555793 
339	 8.37987349675638E-02 
340	 7.70779383378216E-02 
341	 8.62559263848293E-02 
342	 9.22082433521857E-02 
343	 9.24530314446181E-02 
344	 8.80088630030946E-02 
345	 8.58495586985904E-02 
346	 8.76402310383498E-02 
347	 9.12218309012544E-02 
348	 9.29006562323681E-02 
349	 9.07263480786008E-02 
350	 8.90532861623651E-02 
351	 8.99164759789874E-02 
352	 0.095687971365055 
353	 9.76048969019346E-02 
354	 9.51344156800792E-02 
355	 9.49637338907153E-02 
356	 9.59286209067706E-02 
357	 9.70818933912553E-02 
358	 9.69552872913305E-02 
359	 9.65470922265199E-02 
360	 9.76122543124391E-02 
361	 9.86015694232314E-02 
362	 9.91045231639228E-02 
363	 9.92400812218413E-02 
364	 9.87712121010124E-02 
365	 9.78737076977817E-02 
366	 9.84039955612571E-02 
367	 9.91633277209608E-02 
368	 9.83404549052645E-02 
369	 9.80946165978152E-02 
370	 9.86290763995383E-02 
371	 9.90062837131305E-02 
372	 9.88744640925663E-02 
373	 9.79907889470492E-02 
374	 9.63996602651182E-02 
375	 9.46623813223167E-02 
376	 9.34912504511101E-02 
377	 9.33629537079696E-02 
378	 9.41566999118671E-02 
379	 9.52397141090355E-02 
380	 9.56945144596035E-02 
381	 9.50092679735561E-02 
382	 9.33970792471576E-02 
383	 9.21039016391158E-02 
384	 9.26472678735061E-02 
385	 9.27988105445798E-02 
386	 9.22697670154975E-02 
387	 9.21911853151569E-02 
388	 9.10996840464541E-02 
389	 8.89918786656653E-02 
390	 8.97271063462927E-02 
391	 9.12425688713383E-02 
392	 9.08174097555841E-02 
393	 8.99811263802752E-02 
394	 8.91128507574303E-02 
395	 0.088313822320051 
396	 8.80380643113509E-02 
397	 8.81141907849692E-02 
398	 8.65620341093791E-02 
399	 8.49458191057347E-02 
400	 8.48899642840401E-02 
401	 8.51029454552113E-02 
402	 8.54006135780971E-02 
403	 8.61527615561441E-02 
404	 8.62696203055899E-02 
405	 0.085492467907788 
406	 8.52868730093003E-02 
407	 8.52662214661888E-02 
408	 0.084799089097848 
409	 8.41182844685199E-02 
410	 8.35646953906929E-02 
411	 8.40181816171002E-02 
412	 8.40995694675614E-02 
413	 0.083311094612737 
414	 8.30121061635989E-02 
415	 8.29385302532414E-02 
416	 8.25775971771027E-02 
417	 8.24574665049248E-02 
418	 8.26044531012441E-02 
419	 8.27824726439656E-02 
420	 0.082740916597853 
421	 8.23945358771906E-02 
422	 8.22337919271236E-02 
423	 8.21448937805806E-02 
424	 8.18708462641387E-02 
425	 8.17286813438261E-02 
426	 8.17518319156102E-02 
427	 8.17613874585582E-02 
428	 8.17858598472479E-02 
429	 8.18199365612167E-02 
430	 8.17579258842144E-02 
431	 8.14747334003149E-02 
432	 8.07902395059268E-02 
433	 0.080324657276725 
434	 8.01900449248806E-02 
435	 8.00183510747432E-02 
436	 8.00342919685021E-02 
437	 8.03509168366053E-02 
438	 8.06074935043849E-02 
439	 8.07397469800347E-02 
440	 8.07339069263264E-02 
441	 0.080793780737303 
442	 8.09166784792362E-02 
443	 8.07406695054844E-02 
444	 8.07240259846753E-02 
445	 8.12135332390619E-02 
446	 8.17289583423263E-02 
447	 8.21037814695707E-02 
448	 8.21737436264887E-02 
449	 8.21833510184936E-02 
450	 0.082267765449205 
451	 8.25714611027905E-02 
452	 8.29449193384392E-02 
453	 8.32343995501246E-02 
454	 8.35236017624047E-02 
455	 8.38078260469523E-02 
456	 8.40320376635059E-02 
457	 8.43227777466426E-02 
458	 8.46193273689204E-02 
459	 8.42693132239413E-02 
460	 8.38444745733319E-02 
461	 8.40661978465106E-02 
462	 8.44281203213201E-02 
463	 8.47628943506772E-02 
464	 8.49475726685583E-02 
465	 8.51139087837021E-02 
466	 8.52978548147382E-02 
467	 0.085168912104626 
468	 8.52358826903235E-02 
469	 8.62743354658043E-02 
470	 8.67102660138754E-02 
471	 8.64080068293255E-02 
472	 8.64699718268047E-02 
473	 8.66742840115451E-02 
474	 0.086891656922888 
475	 8.72420361853129E-02 
476	 8.75368159394495E-02 
477	 8.74184680930205E-02 
478	 8.75702269056724E-02 
479	 8.79840544672087E-02 
480	 8.77714144202872E-02 
481	 8.73243110888833E-02 
482	 0.087051604944033 
483	 8.76711651264457E-02 
484	 8.86811049260133E-02 
485	 8.85917810941938E-02 
486	 8.85022799504153E-02 
487	 8.86709423397417E-02 
488	 8.83110111894322E-02 
