wavelength zos_01_11.21_UT_0.02% zos_02_11.34_UT_0% zos_03_11.45_UT_0% zos_07_11.57_UT_18.11% zos_08_12.05_UT_11.63% zos_09_12.16_UT_20.47% zos_13_12.25_UT_32.57% zos_15_12.32_UT_36.21% zos_14_12.39_UT_21.86% zos_21_12.47_UT_57.94% zos_20_12.55_UT_46.91% zos_19_13.01_UT_62.74% zos_27_13.09_UT_79.44% zos_26_13.16_UT_88.42% zos_25_13.29_UT_73.85% zos_a_61_9.45_UT_100% zos_b_61_9.52_UT_100% zos_c_61_9.57_UT_100% zos_d_61_10.04_UT_100% zos_e_61_10.10_UT_100%
400 0.058386 0.034118 0.036933 0.044334 0.043772 0.048755 0.051766 0.034415 0.057953 0.032746 0.0263 0.014126 0.015755 0.012218 0.016259 0.015706 0.01642 0.017198 0.016194 0.017793
401 0.058358 0.034177 0.037082 0.044358 0.043767 0.048833 0.051889 0.034481 0.058138 0.032773 0.026348 0.014171 0.015737 0.012138 0.016199 0.015716 0.0164 0.017236 0.016228 0.017771
402 0.05852 0.03435 0.037281 0.044511 0.043898 0.04895 0.052028 0.034609 0.058499 0.03289 0.026417 0.014147 0.015771 0.012186 0.016228 0.015685 0.016307 0.017155 0.016132 0.017708
403 0.058613 0.034493 0.037403 0.044628 0.044016 0.049027 0.052098 0.034671 0.058666 0.032982 0.026431 0.014116 0.015694 0.012138 0.016202 0.015618 0.016205 0.017084 0.016031 0.017627
404 0.058701 0.034571 0.037466 0.044672 0.044085 0.049039 0.052175 0.034725 0.058739 0.033009 0.026413 0.01411 0.015633 0.012012 0.016151 0.015576 0.016152 0.017084 0.015955 0.017542
405 0.058888 0.034673 0.03757 0.044809 0.044124 0.049102 0.052361 0.034768 0.059043 0.033048 0.026431 0.014084 0.015629 0.012055 0.016162 0.015543 0.016193 0.017143 0.015954 0.017575
406 0.059117 0.034855 0.037701 0.044951 0.044213 0.049258 0.05254 0.034905 0.059328 0.033127 0.026476 0.014094 0.015634 0.012106 0.016143 0.015488 0.016185 0.017104 0.01596 0.017518
407 0.059344 0.035042 0.037861 0.045084 0.044344 0.049364 0.052719 0.035036 0.059554 0.033192 0.026518 0.014101 0.015614 0.0121 0.016158 0.015459 0.01612 0.017033 0.015901 0.017437
408 0.059538 0.035138 0.038039 0.045181 0.04448 0.049421 0.05286 0.035075 0.059731 0.03323 0.026532 0.014112 0.015617 0.012015 0.016119 0.015424 0.016034 0.017017 0.015791 0.017368
409 0.059705 0.035258 0.038159 0.045266 0.044554 0.049553 0.053056 0.03513 0.05992 0.033281 0.026525 0.014071 0.015603 0.012008 0.016092 0.015408 0.015998 0.017011 0.015756 0.017329
410 0.059845 0.035382 0.038258 0.045335 0.044647 0.049646 0.053207 0.035226 0.060116 0.03335 0.026513 0.014009 0.015564 0.012016 0.016067 0.015363 0.015943 0.016997 0.015722 0.017286
411 0.059996 0.035503 0.038372 0.045445 0.044787 0.049695 0.053303 0.03533 0.060325 0.033421 0.026531 0.013981 0.015519 0.011962 0.016008 0.015291 0.015868 0.016922 0.015673 0.017246
412 0.060279 0.035693 0.038559 0.045633 0.044929 0.049848 0.053467 0.03543 0.060579 0.033501 0.026647 0.014049 0.015524 0.011985 0.016064 0.0153 0.015864 0.016954 0.01565 0.017198
413 0.060494 0.035834 0.038715 0.045762 0.045057 0.049967 0.053664 0.035516 0.060817 0.033553 0.0267 0.014063 0.015507 0.011973 0.016065 0.015269 0.015817 0.016927 0.015624 0.017174
414 0.060634 0.035923 0.038841 0.04584 0.045162 0.050047 0.053776 0.035594 0.061032 0.033578 0.026677 0.014022 0.015467 0.01195 0.015994 0.015219 0.015757 0.016885 0.015567 0.017137
415 0.060765 0.036041 0.038913 0.04592 0.045244 0.050126 0.053884 0.035644 0.061246 0.033612 0.02663 0.013994 0.015423 0.011882 0.015958 0.015208 0.015735 0.016854 0.015487 0.017042
416 0.060914 0.036224 0.03907 0.046088 0.045335 0.050222 0.054059 0.035723 0.061482 0.033643 0.02668 0.013973 0.015423 0.011863 0.015943 0.015196 0.015705 0.016839 0.015472 0.016985
417 0.061107 0.036384 0.039238 0.046235 0.04544 0.050341 0.054221 0.035792 0.061731 0.033702 0.026758 0.013971 0.015393 0.011846 0.015916 0.01515 0.015655 0.016823 0.015433 0.016956
418 0.06136 0.036519 0.039369 0.046341 0.045565 0.050487 0.054374 0.035884 0.061988 0.033756 0.026811 0.013996 0.015334 0.011821 0.015908 0.015082 0.015599 0.016786 0.015346 0.01695
419 0.061668 0.036723 0.039565 0.046533 0.045731 0.050676 0.054583 0.036047 0.062245 0.033905 0.02689 0.014053 0.015432 0.011885 0.015922 0.015091 0.015592 0.016771 0.01532 0.016927
420 0.06191 0.036929 0.039762 0.046679 0.045849 0.050828 0.054737 0.036172 0.06249 0.033995 0.026903 0.014067 0.015439 0.011877 0.015913 0.015079 0.015579 0.016775 0.015308 0.016928
421 0.062098 0.037094 0.039955 0.046806 0.045942 0.050963 0.054891 0.036255 0.062735 0.034051 0.026879 0.014036 0.015324 0.011838 0.01593 0.015062 0.015555 0.016778 0.015294 0.016922
422 0.062372 0.037284 0.040188 0.046991 0.046153 0.051194 0.055129 0.036374 0.063011 0.034161 0.026963 0.014024 0.015317 0.011832 0.015926 0.015069 0.015561 0.016777 0.015259 0.016901
423 0.062675 0.037499 0.04042 0.047205 0.046352 0.051384 0.055348 0.036504 0.063308 0.034257 0.027042 0.014053 0.015352 0.011825 0.015923 0.015058 0.015495 0.016749 0.015221 0.016842
424 0.062948 0.037706 0.040614 0.047388 0.046494 0.051519 0.055544 0.036623 0.063605 0.034345 0.027084 0.014061 0.015363 0.011829 0.015903 0.015026 0.01541 0.01673 0.015192 0.016788
425 0.063159 0.037851 0.040752 0.04751 0.046582 0.051627 0.055733 0.03672 0.063881 0.034453 0.027096 0.01403 0.015292 0.011783 0.015869 0.014998 0.015402 0.016714 0.015173 0.016797
426 0.063488 0.038067 0.040919 0.047654 0.046706 0.051756 0.055925 0.036841 0.064127 0.034509 0.027143 0.014005 0.015259 0.011739 0.015869 0.01501 0.015397 0.016712 0.015148 0.016782
427 0.063802 0.038287 0.041135 0.047856 0.046872 0.051893 0.05612 0.036972 0.064399 0.034564 0.027202 0.013992 0.01524 0.011716 0.015841 0.015004 0.015394 0.016704 0.015134 0.016789
428 0.064065 0.038476 0.041398 0.048105 0.047065 0.052032 0.056335 0.037107 0.064722 0.034652 0.027267 0.013998 0.015183 0.011683 0.015807 0.014971 0.015349 0.016692 0.015089 0.016733
429 0.06446 0.038741 0.041687 0.048358 0.047259 0.052203 0.05659 0.037284 0.065065 0.03478 0.027342 0.014055 0.015228 0.011716 0.015867 0.014955 0.015328 0.016678 0.015032 0.016705
430 0.064845 0.038975 0.041949 0.048581 0.047417 0.05238 0.056861 0.03747 0.065375 0.034932 0.027427 0.014098 0.015249 0.011716 0.015868 0.014934 0.015275 0.016654 0.014998 0.016664
431 0.065202 0.039183 0.042194 0.048761 0.047611 0.052556 0.057155 0.03763 0.065673 0.035066 0.027514 0.014106 0.015237 0.011687 0.015837 0.014895 0.015203 0.01664 0.014962 0.016622
432 0.065589 0.039453 0.042475 0.048935 0.047878 0.052737 0.057452 0.037757 0.066051 0.035243 0.027591 0.014086 0.015266 0.011698 0.015839 0.014895 0.015168 0.016596 0.014947 0.016608
433 0.065945 0.039689 0.042731 0.049157 0.048128 0.052918 0.057692 0.037904 0.066427 0.035388 0.027661 0.014081 0.015278 0.011679 0.015852 0.014873 0.015125 0.016594 0.014905 0.016604
434 0.066274 0.039921 0.043005 0.049368 0.048339 0.053084 0.057931 0.038071 0.06677 0.035517 0.027717 0.014105 0.015283 0.011671 0.015865 0.014855 0.015101 0.016607 0.014859 0.01658
435 0.066597 0.040183 0.043275 0.049586 0.048514 0.053224 0.058201 0.038229 0.06707 0.035651 0.027756 0.014146 0.015272 0.011646 0.015866 0.01485 0.015082 0.016578 0.014836 0.016551
436 0.06694 0.040381 0.043495 0.049791 0.048693 0.053347 0.058418 0.038369 0.067337 0.035729 0.027823 0.014115 0.015238 0.011625 0.015849 0.014814 0.015068 0.016544 0.014793 0.016514
437 0.067294 0.040586 0.043748 0.049982 0.04887 0.053499 0.058649 0.038476 0.067652 0.035876 0.027899 0.014111 0.015234 0.011606 0.015846 0.014787 0.015049 0.016529 0.014751 0.016484
438 0.067656 0.040835 0.044054 0.050185 0.04905 0.053693 0.058888 0.038647 0.068027 0.036033 0.027974 0.01416 0.015262 0.011608 0.015862 0.014779 0.01503 0.016522 0.014724 0.016487
439 0.068019 0.041079 0.044288 0.050394 0.049255 0.053883 0.059146 0.038809 0.068362 0.036187 0.028047 0.014149 0.015256 0.011592 0.015854 0.014749 0.015016 0.016518 0.014715 0.016477
440 0.068375 0.041332 0.04454 0.050575 0.049436 0.054056 0.059406 0.038932 0.068662 0.036345 0.028131 0.014127 0.015249 0.011556 0.015834 0.014745 0.014994 0.016529 0.014696 0.016443
441 0.068727 0.0416 0.044829 0.050751 0.049626 0.054241 0.05966 0.039052 0.068969 0.036516 0.028223 0.01413 0.015228 0.011529 0.015838 0.014769 0.014969 0.016533 0.014669 0.016407
442 0.069072 0.041888 0.045156 0.051003 0.049893 0.05449 0.059946 0.039243 0.069345 0.036692 0.028312 0.014189 0.015262 0.011556 0.015873 0.01476 0.014957 0.016494 0.014651 0.016399
443 0.069444 0.042155 0.045444 0.051245 0.050133 0.054707 0.060204 0.039401 0.069697 0.036868 0.028393 0.014227 0.015299 0.011566 0.015924 0.014738 0.01495 0.01649 0.014611 0.01639
444 0.069807 0.042406 0.045713 0.051435 0.050329 0.054888 0.060449 0.039536 0.069999 0.037031 0.028472 0.01424 0.015315 0.011577 0.015924 0.014743 0.014937 0.016505 0.014589 0.016377
445 0.070138 0.04264 0.045949 0.051587 0.050498 0.05506 0.060686 0.039673 0.070262 0.037172 0.028558 0.014244 0.015306 0.011571 0.015897 0.014782 0.014915 0.016508 0.01461 0.016384
